YearMonth,CPO prices,Production,Stocks,Export,Import
2020-01,3014,1171534,1755417,1213539,85033
2020-02,2715,1288515,1700261,1082417,66735
2020-03,2382,1397322,1729583,1184702,79216
2020-04,2299,1652771,2044498,1236478,56596
2020-05,2074,1651336,2029579,1369351,37101
2020-06,2412,1885742,1898372,1706597,48841
2020-07,2519,1807397,1699171,1783284,52691
2020-08,2815,1863309,1702809,1578075,32311
2020-09,2924,1869256,1721802,1612155,48273
2020-10,2980,1724559,1573389,1674304,45398
2020-11,3422,1491551,1561758,1303271,112663
2020-12,3621,1333637,1264881,1624692,282058
2019-01,2037,1737461,3002871,1680891,81477
2019-02,2101,1544518,3056948,1324615,94278
2019-03,1904,1672058,2920377,1620752,131242
2019-04,2019,1649368,2726910,1654499,62112
2019-05,1947,1671467,2444458,1715719,61789
2019-06,1968,1510957,2410828,1397140,101250
2019-07,1879,1740759,2378272,1486485,40069
2019-08,2067,1821548,2240491,1736300,51055
2019-09,2097,1842433,2448448,1409089,71112
2019-10,2104,1795841,2352220,1641973,85034
2019-11,2494,1538053,2255035,1405638,74684
2019-12,2813,1333904,2007124,1396157,123029
2018-01,2487,1586653,2548704,1472219,34825
2018-02,2488,1342805,2476445,1243187,67165
2018-03,2427,1573957,2321759,1565746,39626
2018-04,2418,1558331,2179740,1530139,35624
2018-05,2396,1525405,2168882,1291424,32260
2018-06,2324,1332704,2187035,1129515,85889
2018-07,2215,1503220,2231542,1196653,44030
2018-08,2184,1620605,2504915,1099739,80191
2018-09,2178,1853602,2529447,1619317,61599
2018-10,2082,1964954,2722661,1578263,117269
2018-11,1831,1845222,3007086,1375406,134352
2018-12,1795,1808038,3215052,1383307,108621
2017-01,3275,1276849,1541088,1287782,71591
2017-02,3237,1258539,1459277,1107768,40331
2017-03,2958,1464021,1553219,1265800,101961
2017-04,2754,1548026,1600126,1284120,54475
2017-05,2804,1654494,1557354,1506145,47450
2017-06,2686,1514165,1527071,1379888,45828
2017-07,2630,1826828,1784802,1399107,52962
2017-08,2633,1810551,1941717,1488211,41661
2017-09,2781,1779918,2015922,1519284,41173
2017-10,2736,2008838,2203383,1538050,13479
2017-11,2689,1942847,2553739,1356378,30191
2017-12,2407,1834165,2732093,1427425,14991
